Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Brunei Darussalam,Western Pacific,131403,30036.413,6687,1528.531,792,147,33.602,10,2.286,0
Rwanda,Africa,129709,1001.442,62,0.479,1,1459,11.264,0,0,0
Jamaica,Americas,128679,4345.55,140,4.728,51,2879,97.225,12,0.405,4
Cameroon,Africa,119544,450.33,130,0.49,0,1927,7.259,1,0.004,0
Angola,Africa,99115,301.571,105,0.319,9,1900,5.781,0,0,0
Democratic Republic of the Congo,Africa,86628,96.725,167,0.186,17,1335,1.491,0,0,0
Senegal,Africa,85868,512.831,41,0.245,8,1964,11.73,0,0,0
Malawi,Africa,85610,447.518,49,0.256,2,2626,13.727,0,0,0
Côte d’Ivoire,Africa,81697,309.713,42,0.159,0,796,3.018,0,0,0
Suriname,Americas,79150,13492.275,222,37.843,17,1324,225.695,1,0.17,0
French Guiana,Americas,78679,26342.063,353,118.186,0,394,131.913,0,0,0
Malta,Europe,77099,14983.365,2584,502.173,353,631,122.628,9,1.749,1
French Polynesia,Western Pacific,72058,25651.815,589,209.677,190,646,229.969,1,0.356,0
Eswatini,Africa,69664,6004.668,112,9.654,1,1393,120.069,1,0.086,0
Fiji,Western Pacific,64376,7181.255,67,7.474,11,834,93.034,0,0,0
Madagascar,Africa,64009,231.154,81,0.293,0,1384,4.998,4,0.014,0
Guyana,Americas,63232,8039.138,49,6.23,0,1226,155.87,0,0,0
Sudan,Eastern Mediterranean,61916,141.202,57,0.13,0,4902,11.179,4,0.009,0
New Caledonia,Western Pacific,60303,21122.039,292,102.277,32,310,108.582,4,1.401,0
Mauritania,Africa,58666,1261.727,4,0.086,0,982,21.12,1,0.022,0
Barbados,Americas,58393,20319.443,733,255.067,123,330,114.833,3,1.044,0
Belize,Americas,57231,14393.101,88,22.131,0,654,164.475,0,0,0
Cabo Verde,Africa,55948,10062.825,23,4.137,1,401,72.124,0,0,0
Syrian Arab Republic,Eastern Mediterranean,55663,318.062,105,0.6,13,3135,17.914,8,0.046,2
Gabon,Africa,47584,2137.901,14,0.629,0,303,13.613,0,0,0
Jersey,Europe,45146,41880.96,1606,1489.851,0,119,110.394,3,2.783,0
Papua New Guinea,Western Pacific,43203,482.876,357,3.99,0,640,7.153,1,0.011,0
Seychelles,Africa,40082,40755.692,199,202.345,38,163,165.74,0,0,0
Curaçao,Americas,39853,24286.837,293,178.557,0,265,161.494,0,0,0
Andorra,Europe,39713,51398.434,479,619.944,0,153,198.02,0,0,0
Guam,Western Pacific,39644,23489.261,273,161.754,0,340,201.452,0,0,0
Burundi,Africa,38463,323.469,91,0.765,0,15,0.126,0,0,0
Togo,Africa,36921,445.975,39,0.471,10,272,3.286,0,0,0
Mayotte,Africa,36839,13503.29,39,14.295,0,187,68.545,0,0,0
Guinea,Africa,36459,277.618,4,0.03,0,440,3.35,0,0,0
Faroe Islands,Europe,34658,70926.021,0,0,0,28,57.301,0,0,0
Aruba,Americas,33843,31698.293,26,24.352,0,212,198.565,0,0,0
United Republic of Tanzania,Africa,33797,56.579,24,0.04,0,800,1.339,0,0,0
Bahamas,Americas,33242,8453.276,21,5.34,0,788,200.384,1,0.254,0
Lesotho,Africa,32880,1534.836,105,4.901,0,697,32.536,0,0,0
Haiti,Americas,30522,267.677,11,0.096,0,833,7.305,6,0.053,0
Mali,Africa,30473,150.478,19,0.094,2,727,3.59,0,0,0
Isle of Man,Europe,27925,32840.578,1623,1908.693,158,82,96.434,1,1.176,0
Benin,Africa,26593,219.356,0,0,0,163,1.345,0,0,0
Somalia,Eastern Mediterranean,26410,166.171,0,0,0,1361,8.563,0,0,0
Bhutan,South-East Asia,25860,3351.443,3475,450.358,780,10,1.296,1,0.13,1
Congo,Africa,24069,436.184,7,0.127,7,384,6.959,0,0,0
Saint Lucia,Americas,22929,12486.726,45,24.506,10,365,198.773,0,0,0
Timor-Leste,South-East Asia,22822,1730.979,17,1.289,1,130,9.86,0,0,0
Burkina Faso,Africa,20813,99.568,0,0,0,379,1.813,0,0,0
Guernsey,Europe,20785,32240.802,2936,4554.197,0,31,48.086,0,0,0
Cayman Islands,Americas,20336,30943.396,0,0,0,23,34.997,0,0,0
Tajikistan,Europe,17786,186.482,0,0,0,125,1.311,0,0,0
South Sudan,Africa,17222,153.854,85,0.759,24,138,1.233,0,0,0
Gibraltar,Europe,16851,50016.325,540,1602.802,100,101,299.783,0,0,0
Liechtenstein,Europe,16139,41652.257,666,1718.843,48,81,209.048,1,2.581,0
Equatorial Guinea,Africa,16000,1140.426,101,7.199,0,183,13.044,0,0,0
United States Virgin Islands,Americas,15611,14949.485,33,31.602,0,110,105.339,0,0,0
Djibouti,Eastern Mediterranean,15580,1576.923,7,0.709,0,189,19.13,0,0,0
San Marino,Europe,15181,44731.569,208,612.882,8,113,332.96,1,2.947,1
Central African Republic,Africa,14339,296.888,0,0,0,113,2.34,0,0,0
Nicaragua,Americas,14222,214.686,52,0.785,0,229,3.457,1,0.015,0
Grenada,Americas,13982,12425.904,46,40.881,0,218,193.738,1,0.889,0
Bermuda,Americas,12354,19838.453,260,417.516,0,127,203.941,1,1.606,0
Gambia,Africa,11986,495.972,8,0.331,0,365,15.103,0,0,0
Greenland,Europe,11971,21086.099,35,61.65,0,21,36.99,1,1.761,0
Dominica,Americas,11805,16397.883,60,83.344,0,63,87.511,1,1.389,0
Yemen,Eastern Mediterranean,11803,39.573,2,0.007,0,2142,7.182,2,0.007,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,11022,19149.712,333,578.557,26,33,57.334,2,3.475,1
Solomon Islands,Western Pacific,10778,1569.115,927,134.957,352,133,19.363,6,0.874,4
Monaco,Europe,10530,26832.127,403,1026.909,0,54,137.601,0,0,0
Saint Martin,Americas,9988,25836.157,49,126.749,0,44,113.816,0,0,0
Eritrea,Africa,9724,274.192,1,0.028,0,103,2.904,0,0,0
Sint Maarten,Americas,9657,22519.938,28,65.295,0,86,200.55,1,2.332,0
Niger,Africa,8801,36.358,7,0.029,0,308,1.272,0,0,0
Saint Vincent and the Grenadines,Americas,8333,7511.267,3,2.704,0,106,95.547,0,0,0
Guinea-Bissau,Africa,8131,413.16,18,0.915,0,169,8.587,0,0,0
Comoros,Africa,8083,929.507,7,0.805,1,160,18.399,0,0,0
Sierra Leone,Africa,7674,96.202,0,0,0,125,1.567,0,0,0
Antigua and Barbuda,Americas,7482,7640.229,9,9.19,0,135,137.855,0,0,0
Liberia,Africa,7400,146.312,3,0.059,0,294,5.813,0,0,0
Chad,Africa,7288,44.369,19,0.116,0,190,1.157,0,0,0
Bonaire,Americas,7191,34382.022,241,1152.283,0,28,133.875,0,0,0
British Virgin Islands,Americas,6104,20187.188,0,0,0,62,205.047,0,0,0
Sao Tome and Principe,Africa,5945,2712.642,4,1.825,0,73,33.309,0,0,0
Turks and Caicos Islands,Americas,5888,15207.397,14,36.159,0,36,92.98,0,0,0
Tonga,Western Pacific,5591,5289.749,2173,2055.916,719,2,1.892,0,0,0
Saint Kitts and Nevis,Americas,5548,10430.14,4,7.52,0,42,78.959,0,0,0
Palau,Western Pacific,3987,22037.365,42,232.147,11,6,33.164,0,0,0
Saint Barthélemy,Americas,3883,39281.74,78,789.074,0,4,40.465,0,0,0
American Samoa,Western Pacific,3278,5938.729,1881,3407.794,1011,2,3.623,2,3.623,1
Kiribati,Western Pacific,3065,2565.949,16,13.395,4,13,10.883,0,0,0
Anguilla,Americas,2633,17550.993,39,259.965,0,9,59.992,0,0,0
Vanuatu,Western Pacific,2584,841.296,1640,533.95,834,0,0,0,0,0
Saint Pierre and Miquelon,Americas,1930,33304.573,577,9956.859,0,1,17.256,0,0,0
Cook Islands,Western Pacific,1395,7942.382,611,3478.706,237,0,0,0,0,0
Samoa,Western Pacific,1287,648.644,1058,533.229,491,0,0,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Sint Eustatius,Americas,627,19974.514,142,4523.734,0,3,95.572,0,0,0
Wallis and Futuna,Western Pacific,453,4028.099,0,0,0,7,62.244,0,0,0
Saba,Americas,221,11433.006,3,155.199,0,0,0,0,0,0
Montserrat,Americas,175,3500.7,1,20.004,0,2,40.008,0,0,0
Falkland Islands (Malvinas),Americas,119,3416.595,0,0,0,0,0,0,0,0
Holy See,Europe,26,3213.844,0,0,0,0,0,0,0,0
Niue,Western Pacific,5,309.023,4,247.219,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.757,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
